股票代码,MACD金叉日期,KDJ金叉日期,MA金叉日期
300001,2024-07-18,2024-07-17,2024-07-15
300002,2024-07-10,2024-07-09,2024-07-15
300003,2024-07-25,2024-07-24,2024-07-26
300004,2024-07-22,2024-07-19,2024-07-18
300007,2024-07-05,2024-07-05,2024-07-08
300008,2024-07-09,2024-07-12,2024-07-15
300009,2024-07-22,2024-07-18,2024-07-19
300011,2024-07-25,2024-07-25,2024-07-26
300012,2024-07-09,2024-07-10,2024-07-15
300013,2024-07-31,2024-07-30,2024-07-31
300014,2024-07-18,2024-07-15,2024-07-17
300015,2024-07-17,2024-07-17,2024-07-22
300016,2024-07-31,2024-07-30,2024-07-26
300018,2024-07-15,2024-07-09,2024-07-11
300020,2024-07-17,2024-07-16,2024-07-18
300021,2024-07-12,2024-07-11,2024-07-11
300022,2024-07-05,2024-07-10,2024-07-10
300026,2024-07-22,2024-07-23,2024-07-26
300028,2024-07-30,2024-07-24,2024-07-26
300029,2024-07-09,2024-07-16,2024-07-15
300030,2024-07-11,2024-07-11,2024-07-12
300031,2024-07-17,2024-07-10,2024-07-17
300032,2024-07-08,2024-07-05,2024-07-08
300033,2024-07-17,2024-07-17,2024-07-17
300035,2024-07-11,2024-07-05,2024-07-11
300036,2024-07-16,2024-07-15,2024-07-11
300037,2024-07-17,2024-07-12,2024-07-17
300039,2024-07-17,2024-07-16,2024-07-15
300040,2024-07-18,2024-07-18,2024-07-18
300041,2024-07-10,2024-07-12,2024-07-15
300043,2024-07-18,2024-07-17,2024-07-15
300044,2024-07-18,2024-07-24,2024-07-22
300045,2024-07-08,2024-07-08,2024-07-05
300046,2024-07-15,2024-07-15,2024-07-18
300047,2024-07-19,2024-07-18,2024-07-18
300048,2024-07-24,2024-07-24,2024-07-25
300051,2024-07-30,2024-07-26,2024-07-30
300052,2024-07-09,2024-07-09,2024-07-10
300053,2024-07-17,2024-07-17,2024-07-17
300054,2024-07-23,2024-07-19,2024-07-23
300055,2024-07-15,2024-07-15,2024-07-15
300056,2024-07-18,2024-07-12,2024-07-17
300057,2024-07-09,2024-07-08,2024-07-10
300058,2024-07-31,2024-07-25,2024-07-25
300059,2024-07-05,2024-07-05,2024-07-05
300060,2024-07-12,2024-07-10,2024-07-12
300061,2024-07-19,2024-07-19,2024-07-19
300062,2024-07-15,2024-07-11,2024-07-16
300063,2024-07-08,2024-07-08,2024-07-12
300064,2024-07-29,2024-07-26,2024-07-29
300065,2024-07-17,2024-07-16,2024-07-17
300066,2024-07-19,2024-07-19,2024-07-19
300067,2024-07-24,2024-07-19,2024-07-22
300068,2024-07-10,2024-07-10,2024-07-09
300069,2024-07-26,2024-07-26,2024-07-30
300071,2024-07-15,2024-07-08,2024-07-08
300074,2024-07-25,2024-07-25,2024-07-30
300075,2024-07-16,2024-07-10,2024-07-12
300076,2024-07-22,2024-07-18,2024-07-18
300078,2024-07-09,2024-07-09,2024-07-10
300079,2024-07-29,2024-07-29,2024-07-29
300080,2024-07-26,2024-07-22,2024-07-25
300081,2024-07-10,2024-07-10,2024-07-11
300082,2024-07-11,2024-07-10,2024-07-11
300083,2024-07-12,2024-07-10,2024-07-12
300084,2024-07-18,2024-07-15,2024-07-16
300085,2024-07-11,2024-07-09,2024-07-15
300086,2024-07-16,2024-07-16,2024-07-16
300087,2024-07-10,2024-07-05,2024-07-08
300089,2024-07-26,2024-07-26,2024-07-26
300090,2024-07-16,2024-07-11,2024-07-11
300092,2024-07-25,2024-07-24,2024-07-26
300093,2024-07-05,2024-07-05,2024-07-05
300094,2024-07-18,2024-07-12,2024-07-17
300096,2024-07-10,2024-07-10,2024-07-10
300097,2024-07-26,2024-07-26,2024-07-30
300098,2024-07-18,2024-07-18,2024-07-17
300099,2024-07-08,2024-07-08,2024-07-08
300101,2024-07-16,2024-07-16,2024-07-16
300103,2024-07-19,2024-07-15,2024-07-16
300106,2024-07-11,2024-07-11,2024-07-08
300107,2024-07-17,2024-07-10,2024-07-11
300108,2024-07-18,2024-07-17,2024-07-18
300110,2024-07-23,2024-07-17,2024-07-17
300112,2024-07-24,2024-07-19,2024-07-18
300113,2024-07-15,2024-07-10,2024-07-11
300114,2024-07-17,2024-07-17,2024-07-17
300116,2024-07-08,2024-07-08,2024-07-12
300117,2024-07-19,2024-07-19,2024-07-23
300118,2024-07-15,2024-07-19,2024-07-18
300121,2024-07-31,2024-07-29,2024-07-31
300122,2024-07-15,2024-07-08,2024-07-11
300123,2024-07-12,2024-07-17,2024-07-17
300124,2024-07-11,2024-07-12,2024-07-10
300125,2024-07-09,2024-07-09,2024-07-09
300126,2024-07-11,2024-07-10,2024-07-05
300127,2024-07-10,2024-07-10,2024-07-16
300128,2024-07-08,2024-07-08,2024-07-08
300130,2024-07-10,2024-07-09,2024-07-09
300131,2024-07-10,2024-07-16,2024-07-17
300133,2024-07-24,2024-07-22,2024-07-23
300135,2024-07-09,2024-07-05,2024-07-09
300136,2024-07-29,2024-07-29,2024-07-30
300137,2024-07-16,2024-07-18,2024-07-22
300138,2024-07-12,2024-07-10,2024-07-11
300139,2024-07-10,2024-07-08,2024-07-10
300140,2024-07-18,2024-07-15,2024-07-15
300141,2024-07-12,2024-07-05,2024-07-08
300142,2024-07-10,2024-07-10,2024-07-15
300144,2024-07-15,2024-07-11,2024-07-15
300146,2024-07-23,2024-07-22,2024-07-24
300147,2024-07-08,2024-07-08,2024-07-05
300148,2024-07-11,2024-07-08,2024-07-09
300150,2024-07-16,2024-07-15,2024-07-10
300152,2024-07-26,2024-07-24,2024-07-25
300153,2024-07-09,2024-07-09,2024-07-09
300154,2024-07-11,2024-07-11,2024-07-11
300155,2024-07-15,2024-07-15,2024-07-17
300158,2024-07-23,2024-07-22,2024-07-26
300159,2024-07-05,2024-07-05,2024-07-11
300161,2024-07-08,2024-07-08,2024-07-11
300162,2024-07-08,2024-07-08,2024-07-08
300163,2024-07-08,2024-07-05,2024-07-08
300164,2024-07-19,2024-07-12,2024-07-18
300165,2024-07-26,2024-07-23,2024-07-24
300166,2024-07-09,2024-07-09,2024-07-10
300167,2024-07-16,2024-07-18,2024-07-22
300168,2024-07-10,2024-07-10,2024-07-10
300169,2024-07-31,2024-07-26,2024-07-29
300170,2024-07-18,2024-07-15,2024-07-17
300172,2024-07-30,2024-07-30,2024-07-31
300173,2024-07-12,2024-07-16,2024-07-18
300174,2024-07-05,2024-07-05,2024-07-11
300175,2024-07-26,2024-07-26,2024-07-30
300177,2024-07-08,2024-07-08,2024-07-05
300178,2024-07-18,2024-07-17,2024-07-17
300179,2024-07-18,2024-07-12,2024-07-17
300180,2024-07-15,2024-07-11,2024-07-11
300182,2024-07-23,2024-07-22,2024-07-22
300183,2024-07-25,2024-07-23,2024-07-29
300185,2024-07-10,2024-07-05,2024-07-10
300186,2024-07-09,2024-07-09,2024-07-09
300187,2024-07-29,2024-07-29,2024-07-29
300189,2024-07-15,2024-07-15,2024-07-16
300191,2024-07-17,2024-07-23,2024-07-23
300192,2024-07-15,2024-07-17,2024-07-19
300193,2024-07-24,2024-07-24,2024-07-24
300194,2024-07-11,2024-07-11,2024-07-16
300196,2024-07-10,2024-07-10,2024-07-10
300197,2024-07-08,2024-07-08,2024-07-10
300198,2024-07-12,2024-07-08,2024-07-11
300199,2024-07-17,2024-07-11,2024-07-11
300200,2024-07-10,2024-07-08,2024-07-10
