股票代码,MACD金叉日期,KDJ金叉日期,MA金叉日期
300002,2024-07-17,2024-07-18,2024-07-23
300004,2024-07-26,2024-07-25,2024-07-30
300005,2024-07-12,2024-07-11,2024-07-16
300007,2024-07-16,2024-07-10,2024-07-16
300010,2024-07-19,2024-07-18,2024-07-23
300012,2024-07-05,2024-07-04,2024-07-08
300014,2024-07-17,2024-07-11,2024-07-16
300018,2024-07-11,2024-07-11,2024-07-17
300024,2024-07-11,2024-07-09,2024-07-05
300029,2024-07-12,2024-07-11,2024-07-17
300032,2024-07-26,2024-07-26,2024-07-29
300033,2024-07-15,2024-07-09,2024-07-15
300034,2024-07-05,2024-07-05,2024-07-11
300035,2024-07-11,2024-07-09,2024-07-15
300036,2024-07-12,2024-07-10,2024-07-15
300037,2024-07-09,2024-07-09,2024-07-10
300043,2024-07-11,2024-07-11,2024-07-17
300045,2024-07-09,2024-07-11,2024-07-15
300047,2024-07-23,2024-07-22,2024-07-26
300048,2024-07-11,2024-07-09,2024-07-15
300050,2024-07-22,2024-07-22,2024-07-24
300052,2024-07-15,2024-07-10,2024-07-16
300053,2024-07-15,2024-07-19,2024-07-16
300054,2024-07-11,2024-07-09,2024-07-11
300057,2024-07-11,2024-07-11,2024-07-17
300058,2024-07-11,2024-07-11,2024-07-17
300059,2024-07-15,2024-07-09,2024-07-15
300061,2024-07-19,2024-07-15,2024-07-17
300062,2024-07-09,2024-07-09,2024-07-15
300063,2024-07-11,2024-07-11,2024-07-05
300065,2024-07-22,2024-07-19,2024-07-17
300066,2024-07-23,2024-07-26,2024-07-26
300069,2024-07-11,2024-07-12,2024-07-17
300070,2024-07-03,2024-07-09,2024-07-05
300071,2024-07-26,2024-07-25,2024-07-30
300074,2024-07-22,2024-07-19,2024-07-24
300075,2024-07-12,2024-07-11,2024-07-16
300076,2024-07-29,2024-07-26,2024-07-30
300077,2024-07-12,2024-07-09,2024-07-15
300084,2024-07-25,2024-07-26,2024-07-30
300085,2024-07-22,2024-07-22,2024-07-26
300088,2024-07-10,2024-07-09,2024-07-11
300093,2024-07-22,2024-07-17,2024-07-22
300099,2024-07-12,2024-07-11,2024-07-16
300101,2024-07-22,2024-07-19,2024-07-24
300105,2024-07-11,2024-07-11,2024-07-15
300107,2024-07-25,2024-07-25,2024-07-29
300112,2024-07-26,2024-07-25,2024-07-29
300113,2024-07-11,2024-07-11,2024-07-17
300126,2024-07-25,2024-07-22,2024-07-26
300127,2024-07-09,2024-07-12,2024-07-15
300128,2024-07-26,2024-07-26,2024-07-29
300129,2024-07-22,2024-07-22,2024-07-25
300131,2024-07-11,2024-07-09,2024-07-15
300134,2024-07-11,2024-07-10,2024-07-15
300135,2024-07-05,2024-07-09,2024-07-05
300139,2024-07-05,2024-07-04,2024-07-05
300144,2024-07-10,2024-07-09,2024-07-15
300146,2024-07-11,2024-07-11,2024-07-17
300150,2024-07-22,2024-07-19,2024-07-25
300151,2024-07-26,2024-07-26,2024-07-30
300153,2024-07-12,2024-07-11,2024-07-16
300154,2024-07-11,2024-07-10,2024-07-15
300159,2024-07-23,2024-07-26,2024-07-26
300160,2024-07-09,2024-07-09,2024-07-15
300161,2024-07-12,2024-07-10,2024-07-16
300166,2024-07-11,2024-07-11,2024-07-05
300168,2024-07-11,2024-07-11,2024-07-17
300169,2024-07-19,2024-07-18,2024-07-23
300170,2024-07-11,2024-07-11,2024-07-15
300177,2024-07-11,2024-07-10,2024-07-12
300180,2024-07-11,2024-07-11,2024-07-15
300183,2024-07-23,2024-07-22,2024-07-24
300184,2024-07-11,2024-07-09,2024-07-05
