股票代码,银山谷日期,金山谷日期,间隔天数
300001,2024-04-25,2024-05-14,10
300003,2024-04-29,2024-05-20,12
300004,2024-05-07,2024-05-21,10
300030,2024-05-08,2024-05-23,11
300034,2024-04-19,2024-05-08,10
300040,2024-05-08,2024-06-13,25
300041,2024-05-30,2024-06-14,10
300049,2024-04-29,2024-05-16,10
300055,2024-05-09,2024-05-23,10
300056,2024-05-09,2024-05-24,11
300057,2024-05-13,2024-05-29,12
300061,2024-05-07,2024-05-21,10
300072,2024-05-09,2024-05-23,10
300077,2024-05-07,2024-05-22,11
300082,2024-05-09,2024-05-23,10
300092,2024-04-30,2024-05-17,10
300100,2024-04-25,2024-05-14,10
300106,2024-05-10,2024-05-24,10
300109,2024-04-19,2024-05-08,10
300115,2024-04-30,2024-05-21,12
300120,2024-05-08,2024-05-22,10
300126,2024-05-08,2024-05-22,10
300139,2024-05-14,2024-05-28,10
300140,2024-04-30,2024-05-17,10
300145,2024-05-07,2024-05-21,10
300154,2024-05-07,2024-05-21,10
300170,2024-05-06,2024-05-20,10
300173,2024-05-08,2024-05-23,11
300179,2024-05-09,2024-05-23,10
300181,2024-04-19,2024-05-16,16
300183,2024-05-06,2024-05-22,12
300192,2024-05-06,2024-05-20,10
300193,2024-04-18,2024-05-07,10
300196,2024-04-24,2024-05-15,12
300200,2024-04-30,2024-05-21,12
300205,2024-05-08,2024-05-22,10
300215,2024-05-07,2024-06-17,28
300218,2024-04-24,2024-05-13,10
300225,2024-02-29,2024-03-14,10
300229,2024-05-06,2024-05-20,10
300230,2024-05-07,2024-05-22,11
300234,2024-05-09,2024-05-23,10
300247,2024-05-08,2024-05-22,10
300263,2024-05-07,2024-05-22,11
300275,2024-05-06,2024-05-27,15
300277,2024-05-07,2024-05-21,10
300279,2024-05-08,2024-05-22,10
300281,2024-05-08,2024-05-22,10
300285,2024-04-22,2024-05-09,10
300298,2024-04-23,2024-05-13,11
300303,2024-05-06,2024-05-21,11
300305,2024-05-09,2024-05-23,10
300314,2024-05-08,2024-05-23,11
300317,2024-05-10,2024-05-27,11
300318,2024-05-08,2024-05-24,12
300320,2024-04-30,2024-05-27,16
300337,2024-05-08,2024-05-22,10
300342,2024-05-07,2024-05-22,11
300351,2024-04-30,2024-05-17,10
300357,2024-04-30,2024-05-23,14
300371,2024-05-08,2024-05-22,10
300378,2024-05-06,2024-05-20,10
300384,2024-04-30,2024-05-17,10
300385,2024-05-09,2024-05-23,10
300395,2024-05-07,2024-05-21,10
300396,2024-04-22,2024-05-13,12
300400,2024-05-08,2024-05-22,10
300403,2024-05-06,2024-05-20,10
300405,2024-05-09,2024-05-23,10
300407,2024-04-30,2024-05-22,13
300408,2024-04-25,2024-05-14,10
300415,2024-04-12,2024-05-07,14
300417,2024-05-09,2024-05-23,10
300421,2024-05-08,2024-05-22,10
300424,2024-04-30,2024-05-24,15
300433,2024-04-30,2024-05-17,10
300444,2024-04-30,2024-05-21,12
300447,2024-04-30,2024-05-17,10
300448,2024-05-08,2024-05-22,10
300449,2024-05-07,2024-05-21,10
300452,2024-05-06,2024-05-20,10
300460,2024-05-09,2024-05-23,10
300463,2024-05-06,2024-05-23,13
300464,2024-05-08,2024-05-22,10
300470,2024-04-29,2024-05-16,10
300492,2024-04-30,2024-05-21,12
300493,2024-04-30,2024-05-17,10
300498,2024-05-06,2024-05-20,10
300499,2024-05-07,2024-05-21,10
300500,2024-05-06,2024-05-20,10
300502,2024-04-24,2024-05-20,15
300505,2024-04-23,2024-05-21,17
300509,2024-05-08,2024-05-22,10
300512,2024-05-07,2024-05-22,11
300515,2024-05-06,2024-05-20,10
300516,2024-04-25,2024-05-14,10
300521,2024-05-13,2024-05-28,11
300522,2024-05-07,2024-05-22,11
300527,2024-04-23,2024-05-10,10
300535,2024-05-08,2024-05-22,10
300537,2024-05-08,2024-05-22,10
300539,2024-05-08,2024-05-22,10
300543,2024-05-07,2024-05-21,10
300546,2024-05-08,2024-05-23,11
300552,2024-05-21,2024-06-26,25
300555,2024-06-03,2024-06-18,10
300565,2024-05-08,2024-05-22,10
300566,2024-04-30,2024-05-21,12
300572,2024-05-10,2024-05-24,10
300577,2024-04-18,2024-05-16,17
300587,2024-05-06,2024-05-20,10
300589,2024-04-30,2024-05-17,10
300590,2024-04-11,2024-05-06,14
300593,2024-05-07,2024-05-23,12
300594,2024-05-07,2024-05-21,10
300599,2024-05-09,2024-05-23,10
300616,2024-05-08,2024-05-24,12
300621,2024-04-30,2024-05-17,10
300623,2024-04-22,2024-05-09,10
300625,2024-05-08,2024-05-22,10
300627,2024-04-22,2024-05-09,10
300628,2024-04-10,2024-05-06,15
300632,2024-05-07,2024-05-21,10
300633,2024-04-24,2024-05-17,14
300634,2024-05-06,2024-05-21,11
300636,2024-04-12,2024-05-14,19
300638,2024-05-06,2024-05-22,12
300640,2024-05-08,2024-05-22,10
300643,2024-05-06,2024-05-23,13
300650,2024-05-07,2024-05-21,10
300651,2024-05-08,2024-05-22,10
300660,2024-04-29,2024-05-22,14
300661,2024-04-25,2024-05-17,13
300669,2024-05-08,2024-05-23,11
300670,2024-05-08,2024-05-28,14
300671,2024-05-08,2024-05-22,10
300673,2024-04-22,2024-05-17,16
300675,2024-04-30,2024-05-23,14
300679,2024-04-24,2024-05-13,10
300680,2024-04-30,2024-05-21,12
300684,2024-05-07,2024-05-21,10
300686,2024-05-08,2024-05-22,10
300688,2024-05-09,2024-05-27,12
300698,2024-05-07,2024-05-21,10
300701,2024-05-07,2024-05-21,10
300702,2024-04-17,2024-05-17,19
300703,2024-05-07,2024-05-21,10
300710,2024-05-08,2024-05-22,10
300711,2024-04-22,2024-05-20,17
300712,2024-05-09,2024-05-28,13
300717,2024-04-30,2024-05-20,11
300719,2024-04-19,2024-05-16,16
300720,2024-05-07,2024-05-28,15
300724,2024-04-29,2024-05-23,15
300726,2024-04-30,2024-05-23,14
300727,2024-05-07,2024-05-22,11
300733,2024-05-07,2024-05-22,11
300738,2024-05-07,2024-05-21,10
300741,2024-05-07,2024-05-22,11
300745,2024-05-08,2024-05-22,10
300746,2024-05-08,2024-05-22,10
300753,2024-05-08,2024-05-23,11
300759,2024-05-08,2024-05-22,10
300760,2024-04-26,2024-05-15,10
300761,2024-04-23,2024-05-10,10
300762,2024-05-06,2024-05-28,16
300767,2024-05-09,2024-05-23,10
300773,2024-04-26,2024-05-20,13
300774,2024-05-09,2024-05-23,10
300777,2024-05-09,2024-05-23,10
300778,2024-05-09,2024-05-23,10
300783,2024-04-15,2024-04-29,10
300785,2024-05-07,2024-05-24,13
300786,2024-05-09,2024-05-23,10
300787,2024-05-07,2024-05-21,10
300789,2024-05-07,2024-05-21,10
300791,2024-04-23,2024-05-16,14
300792,2024-05-08,2024-05-22,10
300796,2024-04-17,2024-05-06,10
300798,2024-05-08,2024-05-22,10
300800,2024-05-09,2024-05-23,10
300806,2024-05-07,2024-05-22,11
300810,2024-05-07,2024-05-21,10
300816,2024-05-06,2024-05-23,13
300817,2024-05-08,2024-05-23,11
300819,2024-05-08,2024-05-30,16
300821,2024-05-07,2024-05-22,11
300822,2024-05-06,2024-05-20,10
300827,2024-04-19,2024-05-08,10
300828,2024-05-08,2024-05-22,10
300831,2024-05-08,2024-05-27,13
300847,2024-04-19,2024-05-09,11
300848,2024-05-06,2024-05-23,13
300854,2024-05-09,2024-05-23,10
300855,2024-04-29,2024-05-16,10
300863,2024-04-26,2024-05-15,10
300864,2024-05-06,2024-05-20,10
