股票代码,压缩期天数,爆发日期,爆发振幅(%),爆发后3日涨幅(%)
300004,12,2024-09-30,12.4,7.4
300008,21,2024-09-30,15.0,12.5
300009,12,2024-09-30,11.6,-2.4
300015,10,2024-09-26,15.5,66.0
300018,12,2024-09-27,7.3,14.4
300024,13,2024-09-27,7.1,22.2
300026,11,2024-09-30,11.7,1.5
300033,18,2024-09-24,12.8,40.2
300034,20,2024-09-30,13.1,2.0
300036,10,2024-09-30,13.7,0.8
300059,20,2024-09-24,11.5,41.5
300062,15,2024-09-30,16.0,-3.5
300065,18,2024-09-24,7.3,10.9
300105,15,2024-09-30,14.1,4.7
300110,13,2024-09-30,13.6,0.0
300119,18,2024-09-30,11.2,-2.1
300129,11,2024-09-30,12.2,-1.0
300137,15,2024-09-30,16.0,11.1
300144,10,2024-09-26,8.9,35.9
300145,11,2024-09-30,13.3,2.7
300164,11,2024-09-30,13.4,11.7
300185,19,2024-09-30,12.7,5.9
300191,15,2024-09-30,11.4,2.6
300193,12,2024-09-30,13.7,-2.0
300194,21,2024-09-30,13.7,-1.3
300214,20,2024-09-30,13.1,-2.4
300215,16,2024-09-30,15.4,-0.3
300222,11,2024-09-30,13.9,6.2
300226,15,2024-09-24,7.1,20.1
300228,10,2024-09-30,13.3,-2.1
300251,11,2024-09-27,7.4,3.0
300255,10,2024-09-27,7.9,15.5
300258,11,2024-09-30,12.3,-2.0
300259,13,2024-09-30,16.8,0.6
300261,12,2024-09-30,14.7,-1.0
300263,15,2024-09-30,11.6,0.9
300276,12,2024-09-30,14.5,-1.9
300296,10,2024-09-30,11.4,-1.0
300304,11,2024-09-26,7.0,39.4
300306,10,2024-09-30,14.6,-0.2
300313,12,2024-09-30,16.0,-4.7
300318,12,2024-09-30,12.8,-1.7
300321,13,2024-09-30,12.5,-4.5
300326,10,2024-09-30,13.3,-3.2
300327,10,2024-09-30,13.0,7.8
300332,10,2024-09-24,13.6,8.5
300360,15,2024-09-30,12.5,-1.2
300376,10,2024-09-27,10.9,32.7
300383,18,2024-09-30,12.1,0.2
300397,10,2024-09-30,14.8,21.4
300402,13,2024-09-30,12.5,-2.4
300403,11,2024-09-30,18.6,-5.3
300408,10,2024-09-30,8.8,-1.1
300422,10,2024-09-30,13.8,0.4
300445,10,2024-09-30,10.6,-1.1
300447,10,2024-09-30,12.6,2.6
300459,11,2024-09-27,8.4,14.8
300474,18,2024-09-27,11.3,43.2
300478,13,2024-09-30,13.6,-4.6
300514,12,2024-09-27,7.1,9.7
300525,21,2024-09-27,7.2,16.5
300540,16,2024-09-24,7.5,5.7
300543,10,2024-09-30,15.7,-3.2
300545,12,2024-09-30,13.1,1.5
300569,21,2024-09-30,16.0,2.3
300581,19,2024-09-30,15.3,8.9
300582,10,2024-09-30,15.4,2.3
300589,19,2024-09-30,13.8,5.0
300599,11,2024-09-30,12.9,1.6
300600,10,2024-09-30,13.1,1.6
300607,11,2024-09-30,13.8,-0.9
300617,20,2024-09-30,12.0,-0.0
300625,16,2024-09-30,13.1,-2.1
300627,21,2024-09-30,12.4,1.5
300629,13,2024-09-30,12.7,-0.3
300632,10,2024-09-30,14.2,4.1
300660,11,2024-09-30,12.2,-1.1
300669,17,2024-09-30,15.8,-3.1
300680,14,2024-09-30,13.2,-2.1
300683,11,2024-09-30,11.4,-0.5
300699,11,2024-09-30,13.7,-3.7
300706,15,2024-09-30,14.1,10.1
300708,10,2024-09-30,14.2,25.3
300717,18,2024-09-30,17.2,-8.2
300722,12,2024-09-30,14.9,21.3
300727,20,2024-09-30,14.9,-3.0
300747,11,2024-09-30,13.0,1.7
300773,12,2024-09-30,13.7,12.7
300775,16,2024-09-27,8.5,15.1
300800,14,2024-09-30,13.1,0.1
300810,10,2024-09-30,13.7,6.1
300816,10,2024-09-30,16.6,-3.7
300852,14,2024-09-30,14.9,2.0
300863,18,2024-09-26,8.1,24.4
300865,11,2024-09-30,14.3,2.4
300867,11,2024-09-30,12.3,-1.9
300881,12,2024-09-24,22.0,3.7
300882,10,2024-09-27,7.0,13.3
300888,19,2024-09-30,10.7,-4.1
300893,11,2024-09-30,12.7,-1.5
300896,10,2024-09-26,11.8,72.8
300918,11,2024-09-27,7.0,4.9
300922,17,2024-09-30,13.4,5.2
300926,14,2024-09-27,9.0,27.5
300933,19,2024-09-30,15.4,-2.9
300943,10,2024-09-26,11.0,31.6
300946,10,2024-09-27,8.0,10.5
300952,11,2024-09-27,9.3,3.6
300993,20,2024-09-23,8.6,3.6
