股票代码,价格强度分,量能强度分,趋势强度分,资金强度分,总分,PE
301055,39.7,27.2,114.1,5.7,186.6,43.0
300055,38.3,24.0,107.7,7.6,177.5,20.0
300390,40.0,27.8,100.9,4.2,172.9,24.0
300790,38.0,26.3,101.7,2.2,168.2,25.0
301070,39.4,30.0,95.0,1.4,165.8,35.0
300400,34.8,28.9,89.3,7.1,160.1,38.0
300290,31.4,18.6,100.2,9.6,159.7,36.0
300580,38.8,27.4,81.1,8.6,155.9,25.0
300255,35.4,27.0,84.1,9.1,155.6,35.0
300022,35.7,29.1,87.6,1.9,154.3,40.0
301015,37.4,29.6,76.5,9.0,152.4,27.0
300760,9.2,22.0,118.0,1.9,151.1,36.0
300750,33.4,21.8,91.6,3.9,150.7,22.0
300052,24.2,25.9,86.6,9.9,146.6,21.0
300061,5.8,12.5,126.5,1.2,146.0,40.0
